dep_city,arr_city,number
福州,宁德,11222
福州,厦门,11037
厦门,漳州,32503
厦门,泉州,29523
厦门,重庆,27000
厦门,西安,18320
厦门,上海,12912
漳州,厦门,40614
漳州,泉州,7541
漳州,福州,4804
漳州,龙岩,3644
漳州,重庆,2774
泉州,厦门,37825
泉州,重庆,17384
泉州,福州,13165
泉州,贵阳,10225
泉州,莆田,8862
三明,福州,5739
三明,泉州,3376
三明,厦门,3269
三明,重庆,3111
三明,南平,2363
莆田,福州,11118
莆田,泉州,8589
莆田,厦门,4967
莆田,重庆,3820
莆田,贵阳,2351
南平,福州,7258
南平,北京,3771
南平,天津,3175
南平,三明,2339
南平,厦门,2236
龙岩,厦门,7574
龙岩,漳州,3534
龙岩,昆明,3070
龙岩,福州,2712
龙岩,泉州,2386
宁德,福州,11727
宁德,北京,4533
宁德,温州,4037
宁德,百色,1879
宁德,厦门,1877
南昌,北京,20506
南昌,昆明,15932
南昌,宜春,14424
南昌,九江,13269
南昌,成都,10448
九江,南昌,14834
九江,黄冈,3788
九江,昆明,2210
九江,武汉,2193
九江,深圳,2134
上饶,南昌,9967
上饶,上海,4304
上饶,金华,4249
上饶,杭州,4236
上饶,北京,4234
抚州,南昌,9191
抚州,昆明,1967
抚州,上海,1893
抚州,北京,1870
抚州,赣州,1842
宜春,南昌,18371
宜春,北京,3990
宜春,新余,3901
宜春,昆明,3415
宜春,长沙,3231
吉安,南昌,8126
吉安,赣州,6307
吉安,宜春,3152
吉安,深圳,2886
吉安,天津,2818
赣州,南昌,8594
赣州,深圳,6196
赣州,吉安,6175
赣州,广州,5143
赣州,东莞,4256
景德镇,上饶,3958
景德镇,北京,3033
景德镇,南昌,2495
景德镇,海口,1429
景德镇,九江,1372
萍乡,长沙,3216
萍乡,宜春,2654
萍乡,株洲,2611
萍乡,南昌,2216
萍乡,北京,1892
新余,宜春,3777
新余,南昌,2731
新余,吉安,1587
新余,北京,1288
新余,黔东南,1232
鹰潭,上饶,3173
鹰潭,南昌,2601
鹰潭,上海,1840
鹰潭,抚州,1615
鹰潭,怀化,1475
济南,成都,40116
济南,贵阳,28243
济南,德州,23253
济南,泰安,20151
济南,青岛,19115
青岛,重庆,30791
青岛,潍坊,25139
青岛,烟台,18674
青岛,兰州,16683
青岛,济南,16664
淄博,滨州,14322
淄博,济南,12209
淄博,潍坊,9741
淄博,成都,5677
淄博,青岛,5410
枣庄,济宁,13054
枣庄,临沂,6627
枣庄,徐州,6481
枣庄,济南,4510
枣庄,北京,2643
东营,滨州,7725
东营,潍坊,5819
东营,济南,3410
东营,淄博,2964
东营,青岛,1974
烟台,青岛,22316
烟台,威海,12318
烟台,济南,11116
烟台,潍坊,9515
烟台,临沂,6638
潍坊,青岛,24721
潍坊,济南,14317
潍坊,淄博,10990
潍坊,临沂,8338
潍坊,东营,6965
济宁,菏泽,14914
济宁,济南,11971
济宁,枣庄,11290
济宁,泰安,8098
济宁,临沂,6581
泰安,济南,19649
泰安,济宁,10143
泰安,临沂,6499
泰安,莱芜,3635
泰安,菏泽,3546
威海,烟台,13520
威海,哈尔滨,6865
威海,济南,6730
威海,青岛,6456
威海,潍坊,3310
日照,临沂,10468
日照,青岛,6619
日照,广州,5701
日照,潍坊,4237
日照,连云港,2579
滨州,淄博,13905
滨州,济南,8567
滨州,东营,7808
滨州,潍坊,3300
滨州,德州,3175
德州,济南,23992
德州,沧州,6735
德州,衡水,6372
德州,聊城,5940
德州,北京,5576
聊城,济南,11014
聊城,濮阳,6392
聊城,德州,5308
聊城,北京,4355
聊城,邢台,3765
临沂,日照,11130
临沂,深圳,9115
临沂,济南,9107
临沂,青岛,8888
临沂,济宁,7374
菏泽,济宁,12967
菏泽,济南,7976
菏泽,商丘,4881
菏泽,北京,3941
菏泽,深圳,3490
莱芜,济南,4626
莱芜,泰安,3322
莱芜,淄博,1855
莱芜,临沂,966
莱芜,青岛,677
郑州,昆明,45555
郑州,深圳,37097
郑州,开封,32433
郑州,广州,29782
郑州,新乡,28189
开封,郑州,39831
开封,商丘,6060
开封,广州,4865
开封,周口,3654
开封,新乡,3588
洛阳,郑州,23996
洛阳,三门峡,6563
洛阳,北京,4610
洛阳,广州,4392
洛阳,平顶山,4373
平顶山,郑州,13601
平顶山,许昌,6866
平顶山,洛阳,4578
平顶山,南阳,4047
平顶山,漯河,3557
安阳,郑州,13241
安阳,新乡,8870
安阳,鹤壁,8608
安阳,濮阳,7479
安阳,邯郸,5787
鹤壁,安阳,8040
鹤壁,郑州,4821
鹤壁,新乡,3501
鹤壁,北京,1604
鹤壁,深圳,1476
新乡,郑州,34210
新乡,安阳,7312
新乡,焦作,7052
新乡,北京,5124
新乡,开封,3466
焦作,郑州,20991
焦作,新乡,7443
焦作,洛阳,3819
焦作,济源,3104
焦作,北京,1661
濮阳,安阳,6255
濮阳,聊城,6158
濮阳,郑州,5826
濮阳,北京,2521
濮阳,邯郸,2444
许昌,郑州,22740
许昌,平顶山,6382
许昌,漯河,5016
许昌,周口,3546
许昌,开封,2730
漯河,郑州,8127
漯河,许昌,5540
漯河,驻马店,5212
漯河,周口,4457
漯河,平顶山,3500
三门峡,洛阳,6241
三门峡,郑州,5458
三门峡,西安,4152
三门峡,运城,2690
三门峡,渭南,1825
商丘,郑州,18175
商丘,周口,6604
商丘,开封,6054
商丘,菏泽,4685
商丘,亳州,3846
周口,郑州,19364
周口,商丘,5881
周口,阜阳,5701
周口,漯河,4287
周口,驻马店,3992
驻马店,郑州,12736
驻马店,信阳,6068
驻马店,漯河,5723
驻马店,北京,4649
驻马店,周口,4388
南阳,郑州,12111
南阳,襄阳,5075
南阳,平顶山,4194
南阳,海口,3913
南阳,驻马店,3454
信阳,郑州,8392
信阳,驻马店,6569
信阳,北京,5742
信阳,武汉,4283
信阳,南阳,3044
济源,焦作,2712
济源,洛阳,2200
济源,郑州,2141
济源,运城,474
济源,新乡,426
武汉,北京,48619
武汉,孝感,29092
武汉,昆明,24051
武汉,沈阳,23700
武汉,黄冈,21611
黄石,武汉,10586
黄石,鄂州,7327
黄石,黄冈,3538
黄石,北京,1311
黄石,咸宁,1290
十堰,襄阳,5769
十堰,武汉,4770
十堰,安康,2087
十堰,海口,2002
十堰,深圳,1743
荆州,武汉,11528
荆州,宜昌,5115
荆州,岳阳,2690
荆州,潜江,2501
荆州,重庆,2289
宜昌,武汉,8503
宜昌,重庆,7824
宜昌,恩施州,5259
宜昌,荆州,4948
宜昌,北京,4479
襄阳,武汉,10953
襄阳,十堰,6348
襄阳,南阳,5216
襄阳,随州,2886
襄阳,重庆,2584
鄂州,武汉,16044
鄂州,黄石,8789
鄂州,黄冈,2767
鄂州,重庆,1193
鄂州,丽江,714
黄冈,武汉,24353
黄冈,重庆,4524
黄冈,黄石,4086
黄冈,九江,3906
黄冈,鄂州,3059
孝感,武汉,34580
孝感,北京,3351
孝感,重庆,2529
孝感,随州,2477
孝感,广州,2220
咸宁,武汉,14986
咸宁,岳阳,2128
咸宁,广州,2102
咸宁,北京,2056
咸宁,深圳,1813
仙桃,武汉,6487
仙桃,天门,1679
仙桃,荆州,1509
仙桃,潜江,1144
仙桃,重庆,1077
潜江,武汉,2974
潜江,荆州,2461
潜江,重庆,1083
潜江,仙桃,1068
潜江,荆门,739
神农架,宜昌,614
神农架,武汉,333
神农架,十堰,248
神农架,深圳,244
神农架,襄阳,237
恩施州,重庆,8243
恩施州,武汉,5402
恩施州,大连,4268
恩施州,宜昌,4021
恩施州,上海,3618
天门,武汉,3298
天门,荆门,1648
天门,仙桃,1596
天门,孝感,1027
天门,广州,715
随州,武汉,6764
