arr_city,dep_city ,number
常德,张家界,3168
张家界,长沙,4479
张家界,常德,3452
张家界,湘西,3430
益阳,长沙,18903
益阳,常德,4050
益阳,岳阳,2828
娄底,长沙,10169
娄底,邵阳,4082
娄底,湘潭,3426
郴州,长沙,6341
郴州,广州,5890
郴州,衡阳,5208
永州,长沙,4906
永州,衡阳,4040
永州,郴州,2804
怀化,北京,7642
怀化,长沙,5967
怀化,重庆,4745
湘西,长沙,3676
湘西,怀化,3511
湘西,张家界,3389
广州,佛山,166091
广州,上海,93699
广州,东莞,77123
深圳,东莞,157202
深圳,上海,112566
深圳,成都,82911
珠海,中山,42606
珠海,上海,20461
珠海,澳门,17959
汕头,揭阳,18890
汕头,潮州,13682
汕头,深圳,8006
佛山,广州,172364
佛山,中山,32649
佛山,肇庆,22108
韶关,广州,16857
韶关,深圳,5769
韶关,清远,5099
湛江,广州,15272
湛江,茂名,14729
湛江,佛山,6671
肇庆,佛山,22805
肇庆,广州,17485
肇庆,云浮,6928
江门,佛山,20056
江门,广州,18804
江门,中山,17547
茂名,湛江,12525
茂名,广州,10487
茂名,阳江,5071
惠州,深圳,92792
惠州,东莞,55649
惠州,广州,30490
梅州,广州,5469
梅州,深圳,5299
梅州,揭阳,3402
汕尾,深圳,9858
汕尾,惠州,5287
汕尾,广州,4569
河源,深圳,12656
河源,惠州,11827
河源,广州,7402
阳江,广州,7053
阳江,茂名,4125
阳江,江门,4072
清远,广州,38318
清远,佛山,11796
清远,深圳,5697
东莞,深圳,159885
东莞,广州,74445
东莞,惠州,44167
中山,珠海,50333
中山,佛山,33123
中山,广州,27984
潮州,汕头,16563
潮州,揭阳,5434
潮州,广州,3579
揭阳,汕头,19643
揭阳,深圳,7979
揭阳,广州,7265
云浮,广州,7035
云浮,肇庆,6647
云浮,佛山,6639
南宁,南京,23990
南宁,百色,21959
南宁,杭州,20642
柳州,南宁,12641
柳州,来宾,11853
柳州,桂林,7701
桂林,南宁,11883
桂林,上海,11192
桂林,柳州,7957
梧州,南宁,5006
梧州,广州,3384
梧州,贵港,3064
北海,南宁,8590
北海,咸阳,7307
北海,西安,6834
防城港,南宁,8169
防城港,钦州,4547
防城港,北海,1386
钦州,南宁,12169
钦州,北海,4501
钦州,防城港,3930
贵港,南宁,10570
贵港,玉林,5554
贵港,广州,3698
玉林,南宁,10369
玉林,贵港,5828
玉林,茂名,3394
百色,南宁,17157
百色,文山,5355
百色,黔西南,4199
贺州,桂林,4132
贺州,梧州,2868
贺州,南宁,2270
河池,南宁,11283
河池,柳州,5285
河池,百色,2584
来宾,柳州,11034
来宾,南宁,5780
来宾,贵港,2204
崇左,南宁,16765
崇左,百色,1853
崇左,合肥,1698
海口,三亚,14608
海口,成都,11925
海口,澄迈县,11455
三亚,成都,59636
三亚,重庆,27940
三亚,武汉,18184
儋州,海口,5736
儋州,临高县,1325
儋州,三亚,1047
五指山,海口,925
五指山,保亭,762
五指山,三亚,679
文昌,海口,10464
文昌,重庆,1506
文昌,成都,1187
琼海,海口,5893
琼海,三亚,2309
琼海,万宁,1508
万宁,海口,5395
万宁,三亚,2689
万宁,琼海,1828
东方,海口,2528
东方,三亚,1540
东方,昌江,980
定安县,海口,5366
定安县,琼海,909
定安县,屯昌县,570
屯昌县,海口,2575
屯昌县,琼中,600
屯昌县,定安县,558
澄迈县,海口,11880
澄迈县,临高县,870
澄迈县,重庆,777
临高县,海口,3937
临高县,儋州,1559
临高县,澄迈县,925
琼中,海口,1474
琼中,屯昌县,652
琼中,儋州,462
保亭,三亚,2137
保亭,五指山,910
保亭,海口,811
白沙,儋州,861
白沙,海口,598
白沙,昌江,378
昌江,海口,2064
昌江,东方,899
昌江,儋州,808
乐东,三亚,4389
乐东,海口,2244
乐东,东方,1017
陵水,三亚,5311
陵水,成都,3312
陵水,海口,2799
重庆,上海,130402
重庆,北京,129714
重庆,成都,37175
成都,深圳,97672
成都,广州,64369
成都,重庆,41002
绵阳,成都,30802
绵阳,北京,18651
绵阳,德阳,10494
自贡,成都,9615
自贡,内江,6616
自贡,宜宾,4992
攀枝花,凉山,5099
攀枝花,成都,2293
攀枝花,丽江,1080
泸州,重庆,8195
泸州,遵义,7881
泸州,成都,7545
德阳,成都,47130
德阳,绵阳,10364
德阳,北京,6224
广元,成都,8457
广元,上海,4676
广元,杭州,4667
遂宁,成都,14926
遂宁,重庆,5032
遂宁,绵阳,3325
内江,成都,13595
